main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Books,Graphite Rod Repair,3.3,10,"[""(Synopsis) Now you can benefit from the knowledge of this master in his new book, Graphite Rod Repair. L.A. tackles the intricacies of repairing and properly building a graphite rod, explaining and demonstrating in a way that makes the complex easy to, understand. Graphite Rod Repair includes: repairing broken rods, removing and replacing guides, handles, reel seats, and tip tops inscribing your rod, thread wrapping, various handle designs, tools, materials and supplies you'll need, and more. This attractive little book is spiralbound, so that it lays flat as you follow along. With its precise photography and simple text, this book is sure to send you on the way to becoming an expert rod builder and repairer in your own right!""]",[],1.48,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41G2JS38H2L._SX289_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",L. A. Garcia (Author),['Books' 'Sports & Outdoors' 'Hunting & Fishing'],"{""Publisher"": ""Frank Amato Pubns (January 1, 1997)"", ""Language"": ""English"", ""Spiral bound"": ""31 pages"", ""ISBN 10"": ""1571880879"", ""ISBN 13"": ""978-1571880871"", ""Item Weight"": ""3.2 ounces"", ""Dimensions"": ""5.5 x 0.25 x 8.75 inches""}",1571880879,,"Spiral-bound – January 1, 1997","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'L. A. Garcia', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,Favorite Thorton W. Burgess Stories: 6 Books,4.8,10,"[""A 6-pack of Burgess' best:""
 'The Adventures of Chatterer the Red Squirrel' ','
 'The Adventures of Peter Cottontail' ',' 'Lightfoot the Deer' ','
 'The Adventures of Grandfather Frog' ','
 'The Adventures of Old Man Coyote' ', and'
 'The Adventures of Jimmy Skunk' '.']",[],25.99,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/516K7TH44QL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Dover (Author),"['Books' ""Children's Books"" 'Animals']","{""Publisher"": ""Dover Publications (August 1, 2006)"", ""Language"": ""English"", ""ISBN 10"": ""0486457117"", ""ISBN 13"": ""978-0486457116"", ""Reading age"": ""8 - 9 years"", ""Item Weight"": ""1.01 pounds"", ""Dimensions"": ""5.25 x 1.5 x 8.5 inches""}",0486457117,,"Paperback – August 1, 2006",
Books,Behind the Wheel (Choose Your Own Adventure #35)(Paperback/Revised),4.1,12,"['Behind the Wheel'
 ""by R. A. Montgomery takes YOU on a breakneck driving adventure through Europe. 9-12 year old readers will race vintage speedsters in both rally and Grand Prix events, work with Interpol to bring a band of crooks to justice, and save a man's life.  Choose Your Own Adventure""
 'Behind the Wheel'
 'is an interactive adventure book in which YOU decide what happens next.   A criminal syndicate is trying to turn the outcome of the race in their favor. Do you play along with their plot to bribe you? Or do you make a quick getaway? Can you trust an unexpected offer of help? Or do you snoop for clues in a stolen briefcase?   For readers who enjoyed other titles from the Choose Your Own Adventure series, including:'
 'Race Forever' 'by R. A. Montgomery,' 'Struggle Down Under'
 'by Shannon Gilligan, and' 'Escape From the Haunted Warehouse'
 'by Anson Montgomery.']","['About the Author'
 'R. A. MONTGOMERY attended Hopkins Grammar School, Williston-Northampton School and Williams College where he graduated in 1958. He pursued graduate studies in Religion and Economics at Yale and NYU. Montgomery was an adventurer all his life, climbing mountains in the Himalaya, skiing throughout Europe and scuba-diving wherever he could. His interests included education, macro-economics, geo-politics, mythology, history, mystery novels and music. He wrote his first interactive book, Journey Under the Sea, in 1976 and published it under the series name The Adventures of You. A few years later Bantam Books bought this book and gave Montgomery a contract for five more, to inaugurate their new childrens publishing division. Bantam renamed the series Choose Your Own Adventure and a publishing phenomenon was born. The series has sold more than 260 million copies in over 40 languages. He was married to the writer Shannon Gilligan. Montgomery died in November 2014, only two months after his last book was published.']",7.99,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41EcxL0TzFL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",R. A. Montgomery (Author),"['Books' ""Children's Books"" 'Literature & Fiction']","{""Publisher"": ""Chooseco; Illustrated edition (August 1, 2010)"", ""Language"": ""English"", ""Paperback"": ""144 pages"", ""ISBN 10"": ""1933390352"", ""ISBN 13"": ""978-1933390352"", ""Reading age"": ""8 - 12 years"", ""Lexile measure"": ""700L"", ""Grade level"": ""4 - 8"", ""Item Weight"": ""3.68 ounces"", ""Dimensions"": ""4.28 x 0.39 x 6.9 inches""}",1933390352,,"Paperback – Illustrated, August 1, 2010","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/dacejg3ekga55knkgtq9vfgp14._SY600_.jpg', 'name': 'R. A. Montgomery', 'about': ['R.A. Montgomery was an avid adventurer, first and foremost. Whether in the mountains, or on the sea, or in explorations of the mind, he found adventure in every aspect of his life. Teaching school, working in the administration of a top university, hiking in the Himalayas, or working in the Peace Corps in Africa, Montgomery took making choices seriously.', '""There is never a day in which you are not confronted with choice. Some seemingly small choices can determine the path of the rest of your life. CYOA gave me a vehicle for examining all the impacts of choice.""', ""As the co-founder of Choose Your Own Adventure, his books are known for being bestselling chapter books in the same arena as Wimpy Kid, Magic Tree House and the Disney Princess series. Choose Your Own Adventure books are perfect for reluctant readers and kids who don't like to read. They have inspired a love of reading for generations."", 'He was born in Greenwich, Connecticut in 1936. One of his first memories was of him sitting in his high chair and being frightened of Jell-O, which he thought was alive. He attended Hopkins Grammar School, the oldest private school in the country (founded in 1660), and Williston Academy. He got his college degree from Williams in 1958, and attended graduate school at Yale and NYU.', 'Choose Your Own Adventure® books reflect his diverse interests and values. ""More than anything else, everyone should have the freedom to express themselves. Second to that, everyone should take risks and be willing to fail. Picking yourself up off the mat is the central business of life.""', 'R.A. Montgomery made his home in north central Vermont, where he co-founded Chooseco in 2003, the small publishing house that has re-introduced the CYOA series. Although his technical climbing days were kaput, Ray continued to travel frequently throughout his life to Asia and annually to Europe. He was married to the writer and game designer Shannon Gilligan. Montgomery died in November 2014, only two months after his last book ""Gus vs.The Robot King"" was published.', 'For games, activities and other fun CYOA stuff, visit us online at www.cyoa.com.']}"
Books,MCSE/MCTS SQL Server 2008 R2 / 2012 Exam 70- 432 & 462 ExamFOCUS Study Notes & Review Questions,5.0,1,"['According to MS, the MCSA SQL Server track is intended for candidates who need to perform SQL Server installation, maintenance and configuration tasks. They often need to set up database systems and are responsible for making sure those systems are actually running efficiently. They also need to ensure that the data is backed up regularly, stored effectively, and that the data is highly secure. One will very likely run SQL Server 2012 on Windows Server 2012. There is the new SQL Server 2012 exam coded 70-462 that covers these topics: Install and Configure, Maintain Instances and Databases, Optimize and Troubleshoot, Manage Data, Implement Security, Implement High Availability. Exam 70-432, on the other hand, is all about configuring SQL Server 2008 R2. The topics covered include: Installing and Configuring SQL Server 2008 Maintaining SQL Server Instances Managing SQL Server Security Maintaining a SQL Server Database Performing Data Management Tasks Monitoring and Troubleshooting SQL Server Optimizing SQL Server Performance Implementing High Availability Your job may require that you master both SQL Server versions. SQL Server 2008R2 and SQL Server 2012 share many common features and mechanisms. The two exams have BOKs that look quite different. However, the actual knowledge items involved do overlap a lot so it actually makes sense to study both together. Throughout this book we use screen captures made out of SQL Server 2012. However, unless the text explicitly states a specific version, the contents can be applied towards both versions. We give you knowledge information relevant to the exam specifications. To be able to succeed in the real exams, you’ll need to apply your earned knowledge to the question scenarios. Many of the exam questions are written to be less straight forward. They tend to be framed within the context of short scenarios. The exams are not too difficult. However, coverage is very comprehensive – a wide range of topics are presented in the official topic lists. The exams do not ask you to answer hundreds of questions. In other words, only a small fraction of the official topics will be presented. This ExamFOCUS book focuses on the more difficult topics that will likely make a difference in exam results. The book is NOT intended to guide you through every single official topic. You should therefore use this book together with other reference books for the best possible preparation outcome.']",[],19.99,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51uOdzYoqdL._SX398_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",ExamREVIEW (Author),['Books' 'Education & Teaching' 'Studying & Workbooks'],"{""Publisher"": ""CreateSpace Independent Publishing Platform (December 27, 2012)"", ""Language"": ""English"", ""Paperback"": ""142 pages"", ""ISBN 10"": ""1481835963"", ""ISBN 13"": ""978-1481835961"", ""Item Weight"": ""13.3 ounces"", ""Dimensions"": ""8 x 0.32 x 10 inches""}",1481835963,,,
Books,"Goodnight Riley and the Moon, It's Almost Bedtime: Personalized Children’s Books, Personalized Gifts, and Bedtime Stories (A Magnificent Me! estorytime.com Series)",5.0,2,"['This book is personalized in Riley’s name. If you would like to order in a different child’s name, go to estorytime.com BEFORE you order to let us know your little one’s first name. We will send you an Amazon direct link and you can then order from Amazon your personalized version in the name(s) you want. Enjoy!'
 'Riley will love to see her name in print!'
 'Children love to see their name in print and hear their name throughout their very own storybook. Hold a place in the heart of your sweet Riley as she gets ready for bedtime and her Good Night Riley and the Moon nights. Riley will hear her name as you read her a bedtime story with her dolly by her side in her warm cozy bed. Capture the moments of Riley’s days and the sweet hugs of her nights.   Give the special Riley in your life a personalized bedtime story that’s sure to become one of her favorites. Don’t be surprised to hear the padding of little feet running with “Good Night Riley and the Moon” in tow to read again and again.'
 'This book is a wonderful new baby gift or special occasion personalized gift and is sure to be a favorite for that special Riley in your life –your daughter, grand-daughter, niece, or family friend. Order your copy today and help Riley get all cozy in her warm bed for it is…almost bedtime!'
 'Please remember this book’s title can be personalized in any girl’s name and makes a perfect personalized gift. Simply go to estorytime.com and let us know your little one’s first name BEFORE you order. We will send you an Amazon direct link and you can then order from Amazon your personalized version. Enjoy!'
 'Check Out What Others Are Saying...'
 '“Thank you!! This is such a cool thing for kids.” – MaryAnne'
 '“The kids will be so excited to open these at Christmas. Thanks so much!” -- Suzanne'
 'Tags: personalized children’s books, personalized gifts, personalized baby gifts, personalized, bedtime stories, bedtime story, Riley, 1st birthday gifts']",[],14.95,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/61GixPYgIML._SX218_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Melissa Ryan (Author),"['Books' ""Children's Books"" 'Growing Up & Facts of Life']","{""Publisher"": ""CreateSpace Independent Publishing Platform (December 17, 2014)"", ""Language"": ""English"", ""Paperback"": ""40 pages"", ""ISBN 10"": ""1505581125"", ""ISBN 13"": ""978-1505581126"", ""Reading age"": ""5 - 6 years"", ""Item Weight"": ""5 ounces"", ""Dimensions"": ""8 x 0.1 x 10 inches""}",1505581125,,"Paperback – December 17, 2014","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/dprt752rft3tupni3afut2n8lq._SY600_.jpg', 'name': 'Melissa Ryan', 'about': ['Melissa Ryan\'s love of children\'s literature began as a young girl with her love for words. Picking up a book, and sitting on the living room couch, she asked her mother ""What is a Holly Bibble? (Holy Bible) and ever since, her love of reading and the written word has been part of her life.', 'As a mother of five, she loved reading favorite bedtime stories over and over...and over...and over again. Until they could be recited from memory.', ""Having children with unique first names (and spellings!) she wants to share her love of books that will tell stories personalized with a child's name so children everywhere can become part of the story and hear their own special sweet-sounding name. See their name. Sound out their name. And find their own Holly Bibble moments wrapped up in the pages of wonder and awe and maybe just maybe's."", 'Melissa\'s Books are inspired by her children, her love of all children, and her own mother Blossom who wanted to wear a pink dress in her book debut ""Blossom\'s \'I Didn\'t Do It\' Hiccum-ups Day"", but had to settle for a purple dress instead.', ""Melissa's Books include:"", '* Blossom\'s ""I Didn\'t Do It"" Hiccum-ups Day', ""* It's Almost Bedtime, Blossom"", '* Sleep Tight, Ethan and Sugar Bear, Sleep Tight!', ""* Carter's Magical Birthday"", ""* Liam's First Train Book"", 'All books are part of Melissa\'s estorytime.com ""Magnificent Me!"" book series and each book title can be personalized to your special child\'s name.', ""Children love to see their name in print and hear their name throughout their very own storybook. Hold a place in the heart of your sweet child by ordering any of Melissa's books in any child's name of your choosing."", 'Her books make wonderful new baby or special occasion personalized gifts and are sure to be a favorite for that special little one in your life--your son, daughter, grandson, grand-daughter, nephew, niece, or family friend.', ""If you don't see your child's name on Melissa's Amazon book titles, no worries! Simply go to estorytime.com and send Melissa an email to let her know your child's name and book wanted. She'll publish your book right away and let you know when it's available in print and ebook form."", 'Melissa shares her home in Missouri with her husband Kevin, and four children. Her son RJ is their sweet angel with a heart of gold, watching over Melissa and her family, from Heaven above. All of her family enjoys a love of reading. From her family to yours, enjoy.', ""Visit Melissa's website at: estorytime.com.""]}"
Books,50 Ways to Wear Denim,4.2,41,"['On the heels of the breakout hit' '50 Ways to Wear a Scarf'
 'comes a celebration of a timeless and universally beloved fabric: denim!'
 '50 Ways to Wear Denim'
 ""is an illustrated guide to styling denim in 50 different looks. Each one spotlights an iconic denim garment (think denim shirts and skirts, jeans for every figure, overalls, jean jackets, and more) or suggests unexpected ways to incorporate denim into an outfit, from dressing up denim for a fancy event to mix-and-matching it with leopard print, florals, and plaids. Lively introductory sections explore denim's history, anatomy, and key terminology, plus tips for shopping and caring for this staple fabric. A must-have fashion resource brimming with color and inspiration,""
 '50 Ways to Wear Denim'
 'will delight fashionistas and denim lovers of all ages.']","['About the Author' 'Lauren Friedman is the author of'
 '50 Ways to Wear a Scarf'
 'and creator of the blog My Closet in Sketches. She lives in Washington, D.C.']",10.61,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/4119pYQYmVL._SX355_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Lauren Friedman (Author),['Books' 'Arts & Photography' 'Graphic Design'],"{""Publisher"": ""Chronicle Books (September 6, 2016)"", ""Language"": ""English"", ""Hardcover"": ""128 pages"", ""ISBN 10"": ""9781452149998"", ""ISBN 13"": ""978-1452149998"", ""Item Weight"": ""11.3 ounces"", ""Dimensions"": ""6.25 x 0.5 x 8.25 inches""}",1452149992,,"Hardcover – September 6, 2016","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/o68624s4ce482ms4tbiujoqiet._SY600_.jpg', 'name': 'Lauren Friedman', 'about': ['Lauren Friedman is a resident of Ann Arbor, Michigan. She attended Wellesley College and is the creator of the blog My Closet in Sketches. A lifelong student of fashion, style, and design, she works as an author, illustrator, and stylist. Her first book, ""50 Ways to Wear a Scarf"" is an international bestseller.']}"
Books,Comprehension Mini-lessons,4.7,8,"['Sure-fire lessons and motivating activities—from a Point-of-View Mock Trial to a Fact-O-Spinner Game—help every learner master the essential comprehension skills of determining point of view and distinguishing between fact and opinion. Each section includes a variety of lessons to reinforce skills, a test-preparation lesson and test-formatted activity page, and a fun wrap-up project with evaluation ideas. For use with Grades 4-8.']",[],5.69,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51V1yQg3zfL._SX383_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}","Leann Nickelsen (Author),  Sarah Glasscock (Author)",['Books' 'Education & Teaching' 'Schools & Teaching'],"{""Publisher"": ""Teaching Resources (January 1, 2004)"", ""Language"": ""English"", ""Paperback"": ""64 pages"", ""ISBN 10"": ""0439438365"", ""ISBN 13"": ""978-0439438360"", ""Reading age"": ""3 - 5 years"", ""Item Weight"": ""4.8 ounces"", ""Dimensions"": ""8.25 x 0.25 x 10.5 inches""}",0439438365,,,"{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Sarah Glasscock', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,Tom Selleck: An Unauthorized Biography,4.4,13,"['Traces the career of the popular television star, including his work in TV commercials and soap operas, and offers a glimpse into his personal life']",[],37.99,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/518yJalCQNL._SX368_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Jason Bonderoff (Author),['Books' 'Biographies & Memoirs'],"{""Publisher"": ""Signet; Fourth Printing edition (March 1, 1983)"", ""Language"": ""English"", ""Paperback"": ""184 pages"", ""ISBN 10"": ""0451120639"", ""ISBN 13"": ""978-0451120632"", ""Item Weight"": ""4 ounces"", ""Dimensions"": ""7 x 1 x 5 inches""}",0451120639,,"Paperback – March 1, 1983","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Jason Bonderoff', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,Collectible Beer Trays (A Schiffer Book for Collectors),4.4,6,"['Sit back, pop a cold one, and let Gary Straub introduce you to the colorful world of beer tray collecting. With over 800 bright color photographs of different trays and an engaging text, the reader follows the rise and fall of the lithographed tin beer tray from its 1890s introduction, through its golden years, and eventual post-World War II decline. The fortunes of the breweries are charted in their trays through the boom years prior to 1920, the staggering losses of the Prohibition era, and the conservation during World War II. Discover the alternative materials used when tin was in short supply. Manufacturers of the trays, their artwork(often sold to more than one brewery) and their marks are described in detail. Breweries emblazoned on the trays include Ballantine, Bartels, Genessee, and Narragansett. The names of some of the brews themselves provide occasional surprises, like OLE MULE ALE and ANTRACITEBEER.']","['About the Author'
 'Gary Straub has been collecting Breweriana for thirty years. He lives in Guilford, Connecticut.']",24.56,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51Ua3t1yWqL._SY498_BO1,204,203,200_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Gary Straub (Author),"['Books' 'Crafts, Hobbies & Home' 'Antiques & Collectibles']","{""Publisher"": ""Schiffer Pub Ltd; UK ed. edition (January 1, 1997)"", ""Language"": ""English"", ""Paperback"": ""160 pages"", ""ISBN 10"": ""0887408400"", ""ISBN 13"": ""978-0887408403"", ""Item Weight"": ""2 pounds"", ""Dimensions"": ""8.5 x 0.5 x 11 inches""}",0887408400,,"Paperback – January 1, 1997","{'avatar': 'https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png', 'name': 'Gary Straub', 'about': ['Discover more of the author’s books, see similar authors, read author blogs and more']}"
Books,David Busch's Canon EOS Rebel T6/1300D Guide to Digital SLR Photography (The David Busch Camera Guide Series),4.6,111,"[""David Busch's Canon EOS Rebel T6/1300D Guide to Digital SLR Photography""
 'is your complete all-in-one comprehensive resource and reference for the Canon EOS Rebel T6/1300D.'
 'Aimed at budding photo enthusiasts seeking to improve their photographic skills, the T6/1300D is a budget-priced digital SLR with an impressive range of features, including Wi-Fi communications to link your camera to your iOS or Android smart device. With this book in hand, the camera is remarkably easy to master, too. Equipped with an 18-megapixel sensor, full HD movie-making, an accurate 9-point autofocus system, and a full range of semi-automatic modes, scene options, and creative filters, this newest Rebel has everything you need to explore the world of photography.'
 'With clear how-to steps and full-color illustrations,'
 ""David Busch's Canon EOS Rebel T6/1300D Guide to Digital SLR Photography""
 'covers all the camera\'s capabilities in depth, from taking your first photos through advanced details of setup, exposure, lenses, lighting, and more. Also included is a handy Canon Rebel T6/1300D ""roadmap"" chapter, an easy-to-use visual guide to the camera\'s features and controls.'
 ""With best-selling author and mentor David Busch as your guide, you'll be in full creative control, whether you're shooting on the job, as an advanced hobbyist, or just out for fun. Start building your knowledge and confidence, while bringing your vision to light with the Canon EOS Rebel T6/1300D today.""]","['About the Author' 'With more than two million books in print,'
 'David D. Busch'
 'is the world’s #1 best-selling camera guide author, with more than 100 guidebooks for Nikon, Canon, Sony, Olympus, Pentax, and Panasonic cameras, and many popular books devoted to digital photography and imaging techniques. His best-sellers include'
 'Digital SLR Cameras and Photography for Dummies'
 ', which has sold more than 300,000 copies in five editions, and'
 'Mastering Digital SLR Photography'
 ', now in its Fourth Edition. The graduate of Kent State University is a former newspaper reporter/photographer, and operated his own commercial photo studio, shooting sports, weddings, portraits, fashion, architecture, product photography, and travel images. For 22 years he was a principal in CCS/PR, Inc., one of the largest public relations/marketing firms based in San Diego, working on press conferences, press kits, media tours, and sponsored photo trade magazine articles for Eastman Kodak Company and other imaging companies. His 2500 articles and accompanying photos have appeared inside and on the covers of hundreds of magazines, including'
 'Popular Photography, Rangefinder' ', and' 'Professional Photographer'
 '. For the last decade, Busch has devoted much of his time to sharing his photographic expertise, both in publications, and in seminar/workshops he hosts at the Cleveland Photographic Society School of Photography. He has been a call-in guest for 21 different radio shows nationally and in major markets, including WTOP-AM (Washington), KYW-AM (Philadelphia), USA Network (Daybreak USA), WPHM-AM (Detroit), KMJE-FM (Sacramento), CJAD-AM (Montreal), WBIX-AM (Boston), ABC Radio Network (Jonathan & Mary Show). He’s also been a call-in guest for one Canadian television show, and appeared live on'
 'Breakfast Television'
 'in Toronto, the Today Show of the Great White North. With a total of more than 200 books to his credit, Busch has had as many as five books appear simultaneously in the Amazon.com Top 25 Digital Photography Books, and when Michael Carr of About.com named the top five digital photography books for beginners, the initial #1 and #2 choices were Busch’s'
 'Digital Photography All-in-One Desk Reference for Dummies' 'and'
 'Mastering Digital Photography'
 '. His work has been translated into Arabic, Spanish, Chinese, Japanese, Portuguese, Bulgarian, German, Italian, French, and other languages. Busch’s Web portal is www.dslrguides.com']",21.31,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51eEpE3LZOL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg'],
      dtype=object), 'thumb': array([None], dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",David D. Busch (Author),['Books' 'Arts & Photography' 'Photography & Video'],"{""Publisher"": ""Rocky Nook (December 23, 2016)"", ""Language"": ""English"", ""Paperback"": ""340 pages"", ""ISBN 10"": ""168198170X"", ""ISBN 13"": ""978-1681981703"", ""Item Weight"": ""1.6 pounds"", ""Dimensions"": ""7 x 0.5 x 9 inches""}",168198170X,,"Paperback – December 23, 2016","{'avatar': 'https://m.media-amazon.com/images/S/amzn-author-media-prod/b2q06ojeq4g06j52rvgfgtou8s._SY600_.jpg', 'name': 'David D. Busch', 'about': [""With nearly 3 million books in print, David D. Busch is the world's #1 selling author of camera-specific guidebooks, and the originator of popular series like David Busch's Pro Secrets, David Busch's Compact Field Guides, David Busch's Guides to Digital SLR Photography, and David Busch's Quick Snap Guides."", 'Most of his hugely successful books for Nikon, Canon, Sony, Pentax, Olympus, and Panasonic digital cameras are the top-selling guidebooks for their respective camera models. His advice has been featured on NPR\'s ""All Tech Considered.""', ""Busch's dozens of other books devoted to digital photography include David Busch's Digital Infrared Pro Secrets and Mastering Digital SLR Photography. As a roving photojournalist for more than 20 years, he has illustrated his books, magazine articles, and newspaper reports with award-winning images. Busch has operated his own commercial studio, suffocated in formal dress while shooting weddings-for-hire, and shot sports for a daily newspaper and upstate New York college. His photographs and articles have been published in magazines as diverse as PhotoGraphic, Popular Photography &amp; Imaging, The Rangefinder, The Professional Photographer, and hundreds of other publications. He's also reviewed digital cameras for CNet Networks and Computer Shopper."", ""As a writer, photographer, and contributing editor for ten magazines, he has more than 130 books and 2500 articles to his credit. A PR consultant for Eastman Kodak Company's photography divisions for nearly 20 years, Busch has published photography articles under his by-line in Popular Photography &amp; Imaging, PhotoGraphic, The Rangefinder, The Professional Photographer and other photo magazines. His photos have appeared on the covers of magazines, and in both print and television advertising."", 'The graduate of Kent State University operated his own photo studio and was a principal in CCS/PR, Inc., one of the largest public relations firms based in San Diego, working on press conferences, press kits, media tours, and sponsored photo trade magazine articles. In addition to Kodak, CCS photography clients included Hewlett-Packard. He sold his interest in CCS in 1992 to become a full-time author, photographer, and reporter.', 'Since then, Busch has become one of the leading photojournalist/authors in the United States. He has had as many as five books appear simultaneously in the Amazon.com Top 25 Digital Photography Books, and when Michael Carr of About.com named the top five digital photography books for beginners, the #1 and #2 choices were his Digital Photography All-in-One Desk Reference for Dummies and Mastering Digital Photography. Several of his digital imaging books have sold in excess of 50,000 copies.', ""Busch was a featured guest speaking on digital photography on Toronto's Breakfast Television show in 2005, was the keynote speaker at the Dayton Computerfest, and has been a call-in guest for 22 different radio shows nationally and in major markets, including WTOP-AM (Washington), KYW-AM (Philadelphia), USA Network (Daybreak USA), WPHM-AM (Detroit), KMJE-FM (Sacramento), CJAD-AM (Montreal), WBIX-AM (Boston), ABC Radio Network (Jonathan &amp; Mary Show)."", 'His work has been translated into Arabic, Spanish, Chinese, Japanese, Portuguese, Bulgarian, German, Italian, French, and other languages. his web site is http://www.dbusch.com.']}"
